AAAA-MM-DD HH-MM-SS.ssssss	Xac	Yac	Zac	Xgi	Ygi	Zgi	Xma	Yma	Zma	Wq	Iq	Jq	Kq	
2017-05-08 22:08:07.740362	 - 1.00	-0.00	0.00	-0.06	-	-0.00	-0.01	1.00	-	-0.01	0.00	0.00	
2017-05-08 22:08:07.741942	1 - 1.00	-0.00	0.00	-0.06	-	-0.00	-0.01	1.00	-	-0.01	0.00	0.00	
2017-05-08 22:08:07.775251	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	0.00	0.00	0.00	
2017-05-08 22:08:07.776883	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	0.00	0.00	0.00	
2017-05-08 22:08:07.791355	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	-0.01	0.00	0.00	
2017-05-08 22:08:07.804889	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	-0.01	-0.01	-0.01	
2017-05-08 22:08:07.806330	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	0.00	-0.01	0.00	
2017-05-08 22:08:07.823673	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	0.00	-0.01	0.00	
2017-05-08 22:08:07.825023	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	-0.01	-0.01	0.00	
2017-05-08 22:08:07.863880	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	-0.01	-0.01	-0.01	
2017-05-08 22:08:07.866017	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	0.00	0.00	0.00	
2017-05-08 22:08:07.884082	1 - 1.00	-0.00	0.00	-0.06	-	-0.00	-0.01	1.00	-	-0.01	0.00	0.00	
2017-05-08 22:08:07.886926	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	-0.01	0.00	-0.01	
2017-05-08 22:08:07.914166	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	-0.01	0.00	-0.01	
2017-05-08 22:08:07.916732	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	-0.01	-0.01	0.00	
2017-05-08 22:08:07.939167	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	0.00	-0.01	0.00	
2017-05-08 22:08:07.941553	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	0.00	-0.01	0.00	
2017-05-08 22:08:07.957975	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	0.00	-0.01	0.00	
2017-05-08 22:08:07.960325	1 - 1.00	-0.00	0.00	-0.06	-	-0.00	-0.01	1.00	-	0.00	-0.01	0.00	
2017-05-08 22:08:07.991780	1 - 1.00	-0.00	0.00	-0.06	-	-0.00	-0.01	1.00	-	0.00	0.00	0.00	
2017-05-08 22:08:07.994603	1 - 1.00	-0.00	0.00	-0.06	-	-0.00	-0.01	1.00	-	-0.01	0.00	0.00	
2017-05-08 22:08:08.015376	1 - 1.00	-0.00	0.00	-0.06	-	-0.00	-0.01	1.00	-	-0.01	0.00	0.00	
2017-05-08 22:08:08.017270	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	0.00	0.00	0.00	
2017-05-08 22:08:08.066513	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	0.00	-0.01	0.00	
2017-05-08 22:08:08.068152	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	0.00	-0.01	0.00	
2017-05-08 22:08:08.102640	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	0.00	-0.01	0.00	
2017-05-08 22:08:08.104043	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	0.00	-0.01	0.00	
2017-05-08 22:08:08.140192	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	0.00	-0.01	0.00	
2017-05-08 22:08:08.141528	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	-0.01	0.00	0.00	
2017-05-08 22:08:08.170131	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	-0.01	0.00	0.00	
2017-05-08 22:08:08.171894	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	-0.01	0.00	0.0-0.01	-0.01	1.00	-	-0.01	0.00	0.00	
2017-05-08 22:08:08.199403	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	-0.01	-0.01	-0.01	
2017-05-08 22:08:08.200490	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	0.00	-0.01	0.00	
2017-05-08 22:08:08.219454	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	0.00	-0.01	-0.01	
2017-05-08 22:08:08.220696	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	-0.01	-0.01	0.00	
2017-05-08 22:08:08.238091	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	0.00	-0.01	0.00	
2017-05-08 22:08:08.239125	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	0.00	0.00	0.00	
2017-05-08 22:08:08.274718	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	0.00	0.00	-0.01	
2017-05-08 22:08:08.275907	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	-0.01	0.00	0.00	
2017-05-08 22:08:08.314740	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	0.00	0.00	0.00	
2017-05-08 22:08:08.315973	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	0.00	0.00	0.00	
2017-05-08 22:08:08.335695	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	0.00	-0.01	0.00	
2017-05-08 22:08:08.336766	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	-0.01	-0.01	0.00	
2017-05-08 22:08:08.363249	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	0.00	-0.01	0.00	
2017-05-08 22:08:08.364473	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	-0.01	-0.01	0.00	
2017-05-08 22:08:08.394539	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	-0.01	-0.01	0.00	
2017-05-08 22:08:08.395770	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	-0.01	0.00	0.00	
2017-05-08 22:08:08.419491	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	0.00	-0.01	0.00	
2017-05-08 22:08:08.420615	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	0.00	-0.01	0.00	
2017-05-08 22:08:08.479568	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	-0.01	0.00	-0.01	
2017-05-08 22:08:08.502283	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	0.00	0.00	0.00	
2017-05-08 22:08:08.503840	1 - 1.00	-0.00	0.00	-0.06	-	-0.01	-0.01	1.00	-	-0.01	-0.01	-0.01	
