AAAA-MM-DD HH-MM-SS.ssssss	Xac	Yac	Zac	Xgi	Ygi	Zgi	Xma	Yma	Zma	Wq	Iq	Jq	Kq	
2017-05-08 22:09:35.875962		-0.05	1.25	-	-0.14	-0.34	0.04	
2017-05-08 22:09:35.878122	1 - 0.11	-0.00	-0.05	0.99	-	-0.05	-0.05	1.24	-	-0.11	-0.43	0.07	
2017-05-08 22:09:35.880319	1 - 0.11	0.00	-0.05	0.99	-	0.01	-0.05	1.23	-	-0.10	-0.44	0.08	
2017-05-08 22:09:35.882432	1 - 0.11	0.01	-0.05	0.99	-	0.08	-0.05	1.24	-	-0.07	-0.39	0.05	
2017-05-08 22:09:35.884534	1 - 0.11	0.02	-0.05	0.99	-	0.14	-0.05	1.25	-	-0.03	-0.29	0.02	
2017-05-08 22:09:35.886658	1 - 0.11	0.02	-0.05	0.99	-	0.17	-0.05	1.27	-	0.03	-0.18	0.02	
2017-05-08 22:09:35.888607	1 - 0.10	0.02	-0.05	0.99	-	0.18	-0.04	1.29	-	0.08	-0.10	0.02	
2017-05-08 22:09:35.890557	1 - 0.10	0.02	-0.05	0.99	-	0.18	-0.01	1.32	-	0.10	-0.02	0.03	
2017-05-08 22:09:35.892316	1 - 0.10	0.02	-0.05	0.99	-	0.16	0.03	1.36	-	0.11	0.07	0.03	
2017-05-08 22:09:35.894145	1 - 0.10	0.02	-0.04	0.99	-	0.13	0.08	1.38	-	0.11	0.15	0.04	
2017-05-08 22:09:35.895905	1 - 0.10	0.02	-0.04	0.99	-	0.09	0.12	1.38	-	0.07	0.17	0.05	
2017-05-08 22:09:35.897750	1 - 0.10	0.02	-0.04	0.99	-	0.06	0.16	1.36	-	0.03	0.14	0.06	
2017-05-08 22:09:35.899572	1 - 0.10	0.01	-0.04	0.99	-	0.02	0.18	1.32	-	-0.02	0.08	0.08	
2017-05-08 22:09:35.901302	1 - 0.10	0.01	-0.04	0.99	-	0.01	0.20	1.27	-	-0.07	0.04	0.10	
2017-05-08 22:09:35.902895	1 - 0.10	0.01	-0.04	0.99	-	0.00	0.22	1.22	-	-0.10	0.02	0.12	
2017-05-08 22:09:35.904508	1 - 0.09	0.01	-0.04	0.99	-	0.00	0.24	1.16	-	-0.11	0.03	0.14	
2017-05-08 22:09:35.906177	1 - 0.09	0.01	-0.04	0.99	-	0.00	0.26	1.09	-	-0.12	0.06	0.17	
2017-05-08 22:09:35.907816	1 - 0.09	0.01	-0.04	1.00	-	-0.00	0.28	1.02	-	-0.12	0.09	0.23	
2017-05-08 22:09:35.909550	1 - 0.08	0.01	-0.04	1.00	-	-0.01	0.29	0.94	-	-0.11	0.11	0.27	
2017-05-08 22:09:35.911184	1 - 0.08	0.01	-0.04	1.00	-	-0.03	0.29	0.85	-	-0.09	0.07	0.32	
2017-05-08 22:09:35.912814	1 - 0.07	0.00	-0.04	1.00	-	-0.04	0.27	0.78	-	-0.12	0.02	0.39	
2017-05-08 22:09:35.914286	1 - 0.07	0.00	-0.04	1.00	-	-0.04	0.25	0.73	-	-0.18	0.00	0.47	
2017-05-08 22:09:35.915864	1 - 0.06	0.00	-0.04	1.00	-	-0.02	0.24	0.68	-	-0.23	-0.02	0.55	
2017-05-08 22:09:35.917343	1 - 0.05	0.00	-0.04	1.00	-	0.00	0.24	0.64	-	-0.27	-0.03	0.60	
2017-05-08 22:09:35.919111	1 - 0.04	0.00	-0.05	1.00	-	0.03	0.25	0.60	-	-0.27	-0.03	0.61	
2017-05-08 22:09:35.921066	1 - 0.03	0.00	-0.05	1.00	-	0.06	0.26	0.57	-	-0.24	-0.04	0.60	
2017-05-08 22:09:35.922699	1 - 0.02	0.00	-0.05	1.00	-	0.05	0.26	0.56	-	-0.18	-0.05	0.59	
2017-05-08 22:09:35.924235	1 - 0.01	0.00	-0.05	1.00	-	0.01	0.28	0.55	-	-0.11	-0.08	0.60	
2017-05-08 22:09:35.925638	1 - 0.00	0.01	-0.05	1.00	-	-0.03	0.31	0.56	-	-0.09	-0.19	0.56	
2017-05-08 22:09:35.927021	1 - -0.01	0.01	-0.05	1.00	-	-0.07	0.32	0.57	-	-0.08	-0.37	0.53	
2017-05-08 22:09:35.928494	1 - -0.02	0.02	-0.05	1.00	-	-0.10	0.32	0.59	-	-0.06	-0.58	0.54	
2017-05-08 22:09:35.929940	1 - -0.03	0.03	-0.05	1.00	-	-0.09	0.29	0.61	-	-0.08	-0.79	0.54	
2017-05-08 22:09:35.931344	1 - -0.04	0.04	-0.05	1.00	-	.04	-0.22	0.67	-	0.03	-0.21	-0.04	
2017-05-08 22:09:35.932739	1 - -0.93	0.13	-0.02	0.35	-	0.05	-0.22	0.64	-	0.13	-0.24	-0.01	
2017-05-08 22:09:35.934140	1 - -0.93	0.13	-0.01	0.35	-	0.07	-0.22	0.63	-	0.22	-0.26	0.01	
2017-05-08 22:09:35.935534	1 - -0.93	0.13	-0.01	0.35	-	0.09	-0.20	0.64	-	0.28	-0.24	0.01	
2017-05-08 22:09:35.936832	1 - -0.93	0.13	-0.00	0.35	-	0.10	-0.19	0.67	-	0.32	-0.21	0.01	
2017-05-08 22:09:35.938104	1 - -0.93	0.12	0.00	0.35	-	0.11	-0.16	0.70	-	0.32	-0.20	0.02	
2017-05-08 22:09:35.939364	1 - -0.93	0.12	0.01	0.35	-	0.12	-0.13	0.73	-	0.31	-0.20	0.02	
2017-05-08 22:09:35.940688	1 - -0.93	0.11	0.01	0.35	-	0.13	-0.10	0.76	-	0.27	-0.18	0.03	
2017-05-08 22:09:35.942013	1 - -0.93	0.11	0.02	0.35	-	0.14	-0.08	0.79	-	0.25	-0.15	0.05	
2017-05-08 22:09:35.943291	1 - -0.93	0.11	0.02	0.35	-	0.14	-0.06	0.82	-	0.23	-0.11	0.09	
2017-05-08 22:09:35.944583	1 - -0.93	0.10	0.02	0.34	-	0.15	-0.06	0.84	-	0.20	-0.08	0.12	
2017-05-08 22:09:35.945880	1 - -0.93	0.10	0.02	0.34	-	0.16	-0.06	0.86	-	0.18	-0.05	0.15	
2017-05-08 22:09:35.947113	1 - -0.94	0.10	0.03	0.34	-	0.17	-0.08	0.87	-	0.18	-0.03	0.18	
2017-05-08 22:09:35.948395	1 - -0.94	0.10	0.03	0.34	-	0.18	-0.10	0.88	-	0.21	0.00	0.21	
2017-05-08 22:09:35.949595	1 - -0.94	0.09	0.03	0.33	-	0.20	-0.11	0.92	-	0.26	0.07	0.27	
2017-05-08 22:09:35.950830	1 - -0.94	0.09	0.03	0.33	-	0.21	-0.12	0.97	-	0.34	0.17	0.34	
2017-05-08 22:09:35.952046	1 - -0.94	0.08	0.03	0.32	-	0.19	-0.11	1.03	-	0.43	0.27	0.42	
2017-05-08 22:09:35.953240	1 - -0.95	0.07	0.02	0.31	-	0.15	-0.08	1.11	-	0.47	0.35	0.49	
2017-05-08 22:09:35.954379	1 - -0.95	0.06	0.02	0.31	-	0.08	-0.05	1.16	-	0.36	0.40	0.52	
2017-05-08 22:09:35.955508	1 - -0.95	0.05	0.01	0.30	-	0.02	-0.01	1.18	-	0.26	0.31	0.51	
2017-05-08 22:09:35.956774	1 - -0.96	0.05	0.01	0.29	-	-0.03	0.02	1.22	-	0.15	0.22	0.47	
