AAAA-MM-DD HH-MM-SS.ssssss	Xac	Yac	Zac	Xgi	Ygi	Zgi	Xma	Yma	Zma	Wq	Iq	Jq	Kq	
2017-05-09 09:50:54.293686	2017-05-09 09:50:55.295077	2017-05-09 09:50:56.296295	2017-05-09 09:50:57.297590	2017-05-09 09:50:58.148494	.00	-0.01	0.00	
2017-05-09 09:50:58.151059	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.00	-	0.00	-0.01	0.00	
2017-05-09 09:50:58.153683	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.00	-	0.01	-0.01	0.00	
2017-05-09 09:50:58.186180	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.00	-	0.01	-0.02	0.01	
2017-05-09 09:50:58.226186	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.00	-	0.02	-0.02	0.02	
2017-05-09 09:50:58.228261	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.00	-	0.02	-0.02	0.02	
2017-05-09 09:50:58.230842	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.00	-	0.02	-0.02	0.02	
2017-05-09 09:50:58.233363	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.00	-	0.02	-0.02	0.02	
2017-05-09 09:50:58.235635	1 - 1.00	-0.00	-0.00	0.04	-	-0.00	-0.01	1.00	-	0.02	-0.02	0.02	
2017-05-09 09:50:58.238207	1 - 1.00	-0.00	-0.00	0.04	-	-0.00	-0.00	1.00	-	0.02	-0.02	0.02	
2017-05-09 09:50:58.240880	1 - 1.00	-0.00	-0.00	0.04	-	-0.00	-0.00	1.01	-	0.02	-0.02	0.02	
2017-05-09 09:50:58.243378	1 - 1.00	-0.00	-0.00	0.04	-	-0.00	-0.00	1.01	-	0.02	-0.02	0.02	
2017-05-09 09:50:58.274453	1 - 1.00	-0.00	-0.00	0.04	-	0.00	-0.00	1.01	-	0.02	-0.02	0.02	
2017-05-09 09:50:58.276876	1 - 1.00	-0.00	-0.00	0.04	-	0.00	-0.00	1.01	-	0.02	-0.02	0.03	
2017-05-09 09:50:58.279655	1 - 1.00	-0.00	-0.00	0.04	-	0.00	-0.00	1.01	-	0.02	-0.02	0.02	
2017-05-09 09:50:58.280608	1 - 1.00	-0.00	-0.00	0.04	-	0.00	0.00	1.01	-	0.02	-0.02	0.02	
2017-05-09 09:50:58.282750	1 - 1.00	-0.00	-0.00	0.04	-	0.00	0.00	1.01	-	0.02	-0.02	0.02	
2017-05-09 09:50:58.315932	1 - 1.00	-0.00	-0.00	0.04	-	0.00	0.00	1.01	-	0.01	-0.02	0.01	
2017-05-09 09:50:58.317960	1 - 1.00	0.00	-0.00	0.04	-	0.00	0.00	1.01	-	0.01	-0.02	0.00	
2017-05-09 09:50:58.320237	1 - 1.00	0.00	-0.00	0.04	-	0.00	0.01	1.01	-	0.01	-0.02	0.00	
2017-05-09 09:50:58.323955	1 - 1.00	0.00	-0.00	0.04	-	0.00	0.01	1.01	-	0.00	-0.01	0.00	
2017-05-09 09:50:58.355175	1 - 1.00	0.00	-0.00	0.04	-	0.00	0.01	1.01	-	0.00	-0.01	0.00	
2017-05-09 09:50:58.600043	Aguardando liberacao do botao.
2017-05-09 09:50:58.631934	Liberado.
2017-05-09 09:50:58.632157	
2017-05-09 09:50:58.632945	Aquisicao finalizada.
2017-05-09 09:50:59.634098	2017-05-09 09:50:59.687067	Aguardando liberacao do botao.
2017-05-09 09:50:59.744247	Liberado.
2017-05-09 09:50:59.744298	
2017-05-09 09:50:59.744602	Aquisicao iniciada.
2017-05-09 09:50:59.747015	Testando conexao com o sensor - 1
